Country,TotalCases,TotalDeaths,Recovered,ActiveCases,SeriousCases,CasesPerMil,Population,MedianAge
Ivory Coast,14,0,1,13,0,0.5,0,0
Kyrgyzstan,14,0,0,14,0,2.0,6524195,26
Montenegro,14,0,0,14,0,22.0,628066,39
Puerto Rico,14,0,0,14,0,5.0,2860853,44
Guatemala,13,1,0,12,0,0.7,17915568,23
Maldives,13,0,2,11,0,24.0,540544,30
Nigeria,12,0,1,11,0,0.06,206139589,18
Monaco,11,0,0,11,0,280.0,39242,0
Gibraltar,10,0,2,8,0,297.0,33691,0
Mongolia,10,0,0,10,0,3.0,3278290,28
Ethiopia,9,0,0,9,0,0.08,114963588,19
Togo,9,0,0,9,0,1.0,8278724,19
Trinidad and Tobago,9,0,0,9,0,6.0,1399488,36
Kenya,7,0,0,7,0,0.1,53771296,20
Mayotte,7,0,0,7,0,26.0,272815,20
Seychelles,7,0,0,7,0,71.0,98347,34
Barbados,6,0,0,6,0,21.0,287375,40
Equatorial Guinea,6,0,0,6,0,4.0,1402985,22
Tanzania,6,0,0,6,0,0.1,59734218,18
U.S. Virgin Islands,6,0,0,6,0,57.0,104425,43
Guyana,5,1,0,4,0,6.0,786552,27
Aruba,5,0,1,4,0,47.0,106766,41
Gabon,4,1,0,3,0,2.0,2225734,23
Bahamas,4,0,0,4,0,10.0,393244,32
New Caledonia,4,0,0,4,0,14.0,285498,34
Saint Martin,4,0,0,4,0,103.0,38666,0
Suriname,4,0,0,4,0,7.0,586632,29
Cayman Islands,3,1,0,2,0,46.0,65722,0
Curaçao,3,1,0,2,0,18.0,164093,42
CAR,3,0,0,3,0,0.6,0,0
Congo,3,0,0,3,0,0.5,5518087,19
El Salvador,3,0,0,3,0,0.5,6486205,28
Liberia,3,0,0,3,0,0.6,5057681,19
Madagascar,3,0,0,3,0,0.1,27691018,20
Namibia,3,0,0,3,0,1.0,2540905,22
St. Barth,3,0,0,3,0,304.0,0,0
Zimbabwe,3,0,0,3,0,0.2,14862924,19
Sudan,2,1,0,1,0,0.05,43849260,20
Angola,2,0,0,2,0,0.06,32866272,17
Benin,2,0,0,2,0,0.2,12123200,19
Bermuda,2,0,0,2,0,32.0,62278,0
Bhutan,2,0,0,2,0,3.0,771608,28
Fiji,2,0,0,2,0,2.0,896445,28
Greenland,2,0,0,2,0,35.0,56770,0
Guinea,2,0,0,2,0,0.2,13132795,18
Haiti,2,0,0,2,0,0.2,11402528,24
Isle of Man,2,0,0,2,0,24.0,85033,0
Mauritania,2,0,0,2,0,0.4,4649658,20
Nicaragua,2,0,0,2,0,0.3,6624554,26
Saint Lucia,2,0,0,2,0,11.0,183627,34
Zambia,2,0,0,2,0,0.1,18383955,18
Nepal,1,0,1,0,0,0.03,29136808,25
Antigua and Barbuda,1,0,0,1,0,10.0,97929,34
Cabo Verde,1,0,0,1,0,2.0,555987,28
Chad,1,0,0,1,0,0.06,16425864,17
Djibouti,1,0,0,1,0,1.0,988000,27
Gambia,1,0,0,1,0,0.4,2416668,18
Vatican City,1,0,0,1,0,1248.0,0,0
Montserrat,1,0,0,1,0,200.0,4992,0
Niger,1,0,0,1,0,0.04,24206644,15
Papua New Guinea,1,0,0,1,0,0.1,8947024,22
St. Vincent Grenadines,1,0,0,1,0,9.0,0,0
Sint Maarten,1,0,0,1,0,23.0,42876,0
Somalia,1,0,0,1,0,0.06,15893222,17
Eswatini,1,0,0,1,0,0.9,1160164,21
Timor-Leste,1,0,0,1,0,0.8,1318445,21
